05-03 14:13 gatefinder.toplevel INFO     Setting up logger for gateFinder application...
05-03 14:13 gatefinder.dbMap.DBDot DEBUG    Changing DB #1 physloc from ('-26.88', '30.72') to ('-65.28', '9.93')
05-03 14:13 gatefinder.dbMap.DBDot DEBUG    Changing DB #1 color from #ffffff00 to #ffffff00
05-03 14:13 gatefinder.dbMap.DBDot INFO     creating an instance of DBDot
05-03 14:13 gatefinder.dbMap.DBDot INFO     creating an instance of DBDot
05-03 14:13 gatefinder.dbMap.DBDot INFO     creating an instance of DBDot
05-03 14:13 gatefinder.dbMap.DBDot INFO     creating an instance of DBDot
05-03 14:13 gatefinder.dbMap.DBDot INFO     creating an instance of DBDot
05-03 14:13 gatefinder.dbMap.DBDot INFO     creating an instance of DBDot
05-03 14:13 gatefinder.dbMap.DBDot INFO     creating an instance of DBDot
05-03 14:13 gatefinder.dbMap.DBDot INFO     creating an instance of DBDot
05-03 14:13 gatefinder.dbMap.DBDot INFO     creating an instance of DBDot
05-03 14:13 gatefinder.dbMap.DBDot INFO     creating an instance of DBDot
05-03 14:13 gatefinder.dbMap.DBDot INFO     creating an instance of DBDot
05-03 14:13 gatefinder.dbMap.DBDot INFO     creating an instance of DBDot
05-03 14:13 gatefinder.dbMap.DBDot DEBUG    Changing DB #1 layer_id from 2 to 2
05-03 14:13 gatefinder.dbMap.DBDot DEBUG    Changing DB #1 latcoord from ('-17', '1', '1') to ('-7', '-2', '1')
05-03 14:13 gatefinder.dbMap.DBDot DEBUG    Changing DB #1 physloc from ('-65.28', '9.93') to ('-26.88', '-13.11')
05-03 14:13 gatefinder.dbMap.DBDot DEBUG    Changing DB #1 color from #ffffff00 to #ffffff00
05-03 14:13 gatefinder.dbMap.DBDot INFO     creating an instance of DBDot
05-03 14:13 gatefinder.dbMap.DBDot INFO     creating an instance of DBDot
05-03 14:13 gatefinder.dbMap.DBDot INFO     creating an instance of DBDot
05-03 14:13 gatefinder.dbMap.DBDot INFO     creating an instance of DBDot
05-03 14:13 gatefinder.dbMap.DBDot INFO     creating an instance of DBDot
05-03 14:13 gatefinder.dbMap.DBDot INFO     creating an instance of DBDot
05-03 14:13 gatefinder.dbMap.DBDot INFO     creating an instance of DBDot
05-03 14:13 gatefinder.dbMap.DBDot INFO     creating an instance of DBDot
05-03 14:13 gatefinder.dbMap.DBDot INFO     creating an instance of DBDot
05-03 14:13 gatefinder.dbMap.DBDot INFO     creating an instance of DBDot
05-03 14:13 gatefinder.dbMap.DBDot INFO     creating an instance of DBDot
05-03 14:13 gatefinder.dbMap.DBDot INFO     creating an instance of DBDot
05-03 14:13 gatefinder.dbMap.DBDot DEBUG    Changing DB #1 layer_id from 2 to 2
05-03 14:13 gatefinder.dbMap.DBDot DEBUG    Changing DB #1 latcoord from ('-7', '-2', '1') to ('-7', '4', '0')
05-03 14:13 gatefinder.dbMap.DBDot DEBUG    Changing DB #1 physloc from ('-26.88', '-13.11') to ('-26.88', '30.72')
05-03 14:13 gatefinder.dbMap.DBDot DEBUG    Changing DB #1 color from #ffffff00 to #ffffff00
05-03 14:13 gatefinder.dbMap.Design INFO     creating an instance of Design
05-03 14:13 gatefinder.editor.Editor INFO     creating an instance of Editor
05-03 14:13 gatefinder.dbMap.DBDot INFO     creating an instance of DBDot
05-03 14:13 gatefinder.dbMap.DBDot INFO     creating an instance of DBDot
05-03 14:13 gatefinder.dbMap.DBDot INFO     creating an instance of DBDot
05-03 14:13 gatefinder.dbMap.DBDot INFO     creating an instance of DBDot
05-03 14:13 gatefinder.dbMap.DBDot INFO     creating an instance of DBDot
05-03 14:13 gatefinder.dbMap.DBDot INFO     creating an instance of DBDot
05-03 14:13 gatefinder.dbMap.DBDot INFO     creating an instance of DBDot
05-03 14:13 gatefinder.dbMap.DBDot INFO     creating an instance of DBDot
05-03 14:13 gatefinder.dbMap.DBDot INFO     creating an instance of DBDot
05-03 14:13 gatefinder.dbMap.Design INFO     creating an instance of Design
05-03 14:13 gatefinder.editor.Editor INFO     creating an instance of Editor
05-03 14:13 gatefinder.dbMap.DBDot INFO     creating an instance of DBDot
05-03 14:13 gatefinder.dbMap.DBDot INFO     creating an instance of DBDot
05-03 14:13 gatefinder.dbMap.DBDot INFO     creating an instance of DBDot
05-03 14:13 gatefinder.dbMap.DBDot INFO     creating an instance of DBDot
05-03 14:13 gatefinder.dbMap.DBDot INFO     creating an instance of DBDot
05-03 14:13 gatefinder.dbMap.DBDot INFO     creating an instance of DBDot
05-03 14:13 gatefinder.dbMap.DBDot INFO     creating an instance of DBDot
05-03 14:13 gatefinder.dbMap.DBDot INFO     creating an instance of DBDot
05-03 14:13 gatefinder.dbMap.DBDot INFO     creating an instance of DBDot
05-03 14:13 gatefinder.dbMap.DBDot INFO     creating an instance of DBDot
05-03 14:13 gatefinder.dbMap.Design INFO     creating an instance of Design
05-03 14:13 gatefinder.editor.Editor INFO     creating an instance of Editor
05-03 14:13 gatefinder.dbMap.DBDot INFO     creating an instance of DBDot
05-03 14:13 gatefinder.dbMap.DBDot INFO     creating an instance of DBDot
05-03 14:13 gatefinder.dbMap.DBDot INFO     creating an instance of DBDot
05-03 14:13 gatefinder.dbMap.DBDot INFO     creating an instance of DBDot
05-03 14:13 gatefinder.dbMap.DBDot INFO     creating an instance of DBDot
05-03 14:13 gatefinder.dbMap.DBDot INFO     creating an instance of DBDot
05-03 14:13 gatefinder.dbMap.DBDot INFO     creating an instance of DBDot
05-03 14:13 gatefinder.dbMap.DBDot INFO     creating an instance of DBDot
05-03 14:13 gatefinder.dbMap.DBDot INFO     creating an instance of DBDot
05-03 14:13 gatefinder.dbMap.DBDot INFO     creating an instance of DBDot
05-03 14:13 gatefinder.dbMap.Design INFO     creating an instance of Design
05-03 14:13 gatefinder.editor.Editor INFO     creating an instance of Editor
05-03 14:13 gatefinder.dbMap.DBDot INFO     creating an instance of DBDot
05-03 14:13 gatefinder.dbMap.DBDot INFO     creating an instance of DBDot
05-03 14:13 gatefinder.dbMap.DBDot INFO     creating an instance of DBDot
05-03 14:13 gatefinder.dbMap.DBDot INFO     creating an instance of DBDot
05-03 14:13 gatefinder.dbMap.DBDot INFO     creating an instance of DBDot
05-03 14:13 gatefinder.dbMap.DBDot INFO     creating an instance of DBDot
05-03 14:13 gatefinder.dbMap.DBDot INFO     creating an instance of DBDot
05-03 14:13 gatefinder.dbMap.DBDot INFO     creating an instance of DBDot
05-03 14:13 gatefinder.dbMap.DBDot INFO     creating an instance of DBDot
05-03 14:13 gatefinder.dbMap.DBDot INFO     creating an instance of DBDot
05-03 14:13 gatefinder.dbMap.DBDot INFO     creating an instance of DBDot
05-03 14:13 gatefinder.dbMap.Design INFO     creating an instance of Design
05-03 14:13 gatefinder.editor.Editor INFO     creating an instance of Editor
05-03 14:13 gatefinder.dbMap.DBDot INFO     creating an instance of DBDot
05-03 14:13 gatefinder.dbMap.DBDot INFO     creating an instance of DBDot
05-03 14:13 gatefinder.dbMap.DBDot INFO     creating an instance of DBDot
05-03 14:13 gatefinder.dbMap.DBDot INFO     creating an instance of DBDot
05-03 14:13 gatefinder.dbMap.DBDot INFO     creating an instance of DBDot
05-03 14:13 gatefinder.dbMap.DBDot INFO     creating an instance of DBDot
05-03 14:13 gatefinder.dbMap.DBDot INFO     creating an instance of DBDot
05-03 14:13 gatefinder.dbMap.DBDot INFO     creating an instance of DBDot
05-03 14:13 gatefinder.dbMap.DBDot INFO     creating an instance of DBDot
05-03 14:13 gatefinder.dbMap.DBDot INFO     creating an instance of DBDot
05-03 14:13 gatefinder.dbMap.Design INFO     creating an instance of Design
05-03 14:13 gatefinder.editor.Editor INFO     creating an instance of Editor
05-03 14:13 gatefinder.dbMap.DBDot INFO     creating an instance of DBDot
05-03 14:13 gatefinder.dbMap.DBDot INFO     creating an instance of DBDot
05-03 14:13 gatefinder.dbMap.DBDot INFO     creating an instance of DBDot
05-03 14:13 gatefinder.dbMap.DBDot INFO     creating an instance of DBDot
05-03 14:13 gatefinder.dbMap.DBDot INFO     creating an instance of DBDot
05-03 14:13 gatefinder.dbMap.DBDot INFO     creating an instance of DBDot
05-03 14:13 gatefinder.dbMap.DBDot INFO     creating an instance of DBDot
05-03 14:13 gatefinder.dbMap.DBDot INFO     creating an instance of DBDot
05-03 14:13 gatefinder.dbMap.DBDot INFO     creating an instance of DBDot
05-03 14:13 gatefinder.dbMap.DBDot INFO     creating an instance of DBDot
05-03 14:13 gatefinder.dbMap.DBDot INFO     creating an instance of DBDot
05-03 14:13 gatefinder.dbMap.Design INFO     creating an instance of Design
05-03 14:13 gatefinder.editor.Editor INFO     creating an instance of Editor
05-03 14:13 gatefinder.dbMap.DBDot INFO     creating an instance of DBDot
05-03 14:13 gatefinder.dbMap.DBDot INFO     creating an instance of DBDot
05-03 14:13 gatefinder.dbMap.DBDot INFO     creating an instance of DBDot
05-03 14:13 gatefinder.dbMap.DBDot INFO     creating an instance of DBDot
05-03 14:13 gatefinder.dbMap.DBDot INFO     creating an instance of DBDot
05-03 14:13 gatefinder.dbMap.DBDot INFO     creating an instance of DBDot
05-03 14:13 gatefinder.dbMap.DBDot INFO     creating an instance of DBDot
05-03 14:13 gatefinder.dbMap.DBDot INFO     creating an instance of DBDot
05-03 14:13 gatefinder.dbMap.DBDot INFO     creating an instance of DBDot
05-03 14:13 gatefinder.dbMap.DBDot INFO     creating an instance of DBDot
05-03 14:13 gatefinder.dbMap.DBDot INFO     creating an instance of DBDot
05-03 14:13 gatefinder.dbMap.Design INFO     creating an instance of Design
05-03 14:13 gatefinder.editor.Editor INFO     creating an instance of Editor
05-03 14:13 gatefinder.dbMap.DBDot INFO     creating an instance of DBDot
05-03 14:13 gatefinder.dbMap.DBDot INFO     creating an instance of DBDot
05-03 14:13 gatefinder.dbMap.DBDot INFO     creating an instance of DBDot
05-03 14:13 gatefinder.dbMap.DBDot INFO     creating an instance of DBDot
05-03 14:13 gatefinder.dbMap.DBDot INFO     creating an instance of DBDot
05-03 14:13 gatefinder.dbMap.DBDot INFO     creating an instance of DBDot
05-03 14:13 gatefinder.dbMap.DBDot INFO     creating an instance of DBDot
05-03 14:13 gatefinder.dbMap.DBDot INFO     creating an instance of DBDot
05-03 14:13 gatefinder.dbMap.DBDot INFO     creating an instance of DBDot
05-03 14:13 gatefinder.dbMap.DBDot INFO     creating an instance of DBDot
05-03 14:13 gatefinder.dbMap.DBDot INFO     creating an instance of DBDot
05-03 14:13 gatefinder.dbMap.DBDot INFO     creating an instance of DBDot
